country,production,produccion
Turkey,1997,344
Turkey,2000,431
Turkey,2001,271
Turkey,2002,347
Turkey,2003,534
Turkey,2004,823
Turkey,2005,879
Turkey,2006,988
Turkey,2007,1099
Turkey,2008,1147
Turkey,2009,870
Turkey,2010,1095
Turkey,2011,1189
Turkey,2012,1073
Turkey,2013,1126
Turkey,2014,1170
Turkey,2015,1359
Turkey,2016,1486
Turkey,2017,1674
Turkey,2018,1550
Turkey,2019,1461
Turkey,2020,1298
Turkey,2021,1276
United Kingdom,1961,1447
United Kingdom,1971,2198
United Kingdom,1981,1185
United Kingdom,1991,1454
United Kingdom,1994,1695
United Kingdom,1995,1765
United Kingdom,1996,1924
United Kingdom,1997,1936
United Kingdom,1998,1981
United Kingdom,1999,1973
United Kingdom,2000,1817
United Kingdom,2001,1685
United Kingdom,2002,1821
United Kingdom,2003,1846
United Kingdom,2004,1856
United Kingdom,2005,1803
United Kingdom,2006,1650
United Kingdom,2007,1750
United Kingdom,2008,1649
United Kingdom,2009,1090
United Kingdom,2010,1393
United Kingdom,2011,1464
United Kingdom,2012,1576
United Kingdom,2013,1597
United Kingdom,2014,1599
United Kingdom,2015,1682
United Kingdom,2016,1817
United Kingdom,2017,1749
United Kingdom,2018,1604
United Kingdom,2019,1381
United Kingdom,2020,987
United Kingdom,2021,932
United States,1961,6653
United States,1971,10672
United States,1981,7943
United States,1991,8790
United States,1994,12239
United States,1995,11995
United States,1996,11830
United States,1997,12131
United States,1998,12003
United States,1999,13025
United States,2000,12774
United States,2001,11425
United States,2002,12280
United States,2003,12087
United States,2004,11960
United States,2005,11947
United States,2006,11260
United States,2007,10752
United States,2008,8672
United States,2009,5709
United States,2010,7743
United States,2011,8655
United States,2012,10333
United States,2013,11066
United States,2014,11661
United States,2015,12105
United States,2016,12178
United States,2017,11190
United States,2018,11297
United States,2019,10893
United States,2020,8818
United States,2021,9157
Venezuela,2005,155
Venezuela,2006,172
Venezuela,2007,172
Venezuela,2008,135
Venezuela,2009,112
Venezuela,2010,104
Venezuela,2011,102
Venezuela,2012,104
Venezuela,2013,72
Venezuela,2014,20
Venezuela,2015,18
Venezuela,2016,3
Venezuela,2017,2
"Yugoslavia, Federal Republic ofc",1961,20
"Yugoslavia, Federal Republic ofc",1971,132
"Yugoslavia, Federal Republic ofc",1981,267
"Yugoslavia, Federal Republic ofc",1991,239
"Yugoslavia, Federal Republic ofc",1994,9
"Yugoslavia, Federal Republic ofc",1995,10
"Yugoslavia, Federal Republic ofc",1996,10
"Yugoslavia, Federal Republic ofc",1997,14
